short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur
L. Messi,33,170,72,85.0,92.0,91.0,95.0,38.0,65.0,67500000
Cristiano Ronaldo,35,187,83,89.0,93.0,81.0,89.0,35.0,77.0,46000000
R. Lewandowski,31,184,80,78.0,91.0,78.0,85.0,43.0,82.0,80000000
Neymar Jr,28,175,68,91.0,85.0,86.0,94.0,36.0,59.0,90000000
K. De Bruyne,29,181,70,76.0,86.0,93.0,88.0,64.0,78.0,87000000
K. Mbappé,21,178,73,96.0,86.0,78.0,91.0,39.0,76.0,105500000
V. van Dijk,28,193,92,76.0,60.0,71.0,71.0,91.0,86.0,75500000
S. Mané,28,175,69,94.0,85.0,80.0,90.0,44.0,76.0,78000000
M. Salah,28,175,71,93.0,86.0,81.0,90.0,45.0,75.0,78000000
S. Agüero,32,173,70,78.0,90.0,77.0,88.0,33.0,73.0,53000000
Sergio Ramos,34,184,82,71.0,70.0,76.0,73.0,88.0,85.0,24500000
K. Benzema,32,185,81,74.0,85.0,81.0,86.0,40.0,76.0,53000000
Casemiro,28,185,84,65.0,73.0,76.0,72.0,86.0,91.0,59500000
R. Sterling,25,170,69,93.0,81.0,79.0,90.0,45.0,67.0,72500000
J. Kimmich,25,176,73,71.0,72.0,86.0,84.0,81.0,79.0,65000000
H. Kane,26,188,89,68.0,91.0,80.0,80.0,47.0,83.0,71000000
P. Dybala,26,177,75,85.0,85.0,84.0,92.0,43.0,63.0,71000000
T. Kroos,30,183,76,54.0,81.0,91.0,81.0,71.0,69.0,55000000
E. Hazard,29,175,74,88.0,82.0,83.0,92.0,35.0,66.0,58000000
K. Koulibaly,29,187,89,75.0,28.0,55.0,68.0,89.0,86.0,50000000
N. Kanté,29,168,70,77.0,66.0,76.0,81.0,86.0,82.0,51000000
J. Sancho,20,180,76,83.0,74.0,81.0,91.0,37.0,64.0,69500000
T. Alexander-Arnold,21,180,69,80.0,66.0,87.0,80.0,80.0,71.0,60000000
Bruno Fernandes,25,179,69,77.0,83.0,88.0,85.0,68.0,75.0,63000000
A. Laporte,26,189,85,63.0,50.0,72.0,68.0,88.0,81.0,56000000
Fabinho,26,188,78,67.0,69.0,79.0,77.0,85.0,83.0,54500000
A. Robertson,26,178,64,82.0,62.0,80.0,80.0,81.0,76.0,53000000
Bernardo Silva,25,173,64,81.0,77.0,83.0,92.0,51.0,67.0,60000000
G. Chiellini,35,187,85,66.0,46.0,58.0,60.0,90.0,79.0,15500000
L. Suárez,33,182,86,70.0,90.0,82.0,83.0,51.0,83.0,31500000
L. Modrić,34,172,66,73.0,76.0,89.0,88.0,71.0,66.0,24500000
A. Di María,32,180,69,83.0,81.0,85.0,88.0,48.0,68.0,39000000
P. Aubameyang,31,187,80,93.0,86.0,75.0,80.0,38.0,69.0,45000000
Sergio Busquets,31,189,76,42.0,62.0,80.0,80.0,83.0,77.0,38000000
C. Immobile,30,185,85,84.0,88.0,67.0,83.0,39.0,77.0,48500000
A. Griezmann,29,176,73,79.0,85.0,84.0,88.0,57.0,72.0,50500000
H. Son,27,183,78,88.0,86.0,80.0,87.0,43.0,69.0,52500000
Roberto Firmino,28,181,76,77.0,80.0,81.0,90.0,61.0,78.0,52000000
R. Varane,27,191,81,82.0,49.0,64.0,64.0,87.0,82.0,46500000
P. Pogba,27,191,84,73.0,81.0,86.0,85.0,66.0,85.0,50000000
M. Verratti,27,165,60,64.0,60.0,85.0,90.0,79.0,67.0,50000000
A. Gómez,32,167,68,90.0,79.0,84.0,88.0,39.0,55.0,34500000
Piqué,33,194,85,57.0,61.0,71.0,67.0,86.0,80.0,21000000
David Silva,34,173,67,64.0,74.0,88.0,88.0,52.0,55.0,22500000
M. Hummels,31,191,94,58.0,58.0,77.0,72.0,89.0,77.0,33000000
J. Henderson,30,182,80,65.0,74.0,84.0,79.0,81.0,82.0,36500000
Jordi Alba,31,170,68,88.0,69.0,81.0,83.0,78.0,72.0,32000000
T. Müller,30,186,75,68.0,82.0,82.0,78.0,56.0,71.0,42000000
Carvajal,28,173,73,80.0,54.0,78.0,80.0,82.0,80.0,38000000
J. Vardy,33,179,74,88.0,85.0,66.0,78.0,55.0,75.0,28000000
K. Havertz,21,188,83,84.0,81.0,79.0,85.0,45.0,67.0,57000000
M. de Ligt,20,189,89,72.0,59.0,66.0,69.0,85.0,84.0,49500000
M. Rashford,22,186,70,91.0,83.0,78.0,86.0,45.0,78.0,53000000
L. Sané,24,183,75,93.0,81.0,79.0,86.0,38.0,67.0,51500000
F. de Jong,23,180,74,80.0,64.0,84.0,87.0,76.0,77.0,50500000
Marquinhos,26,183,75,72.0,41.0,73.0,70.0,87.0,78.0,44000000
C. Lenglet,25,186,81,74.0,45.0,67.0,65.0,87.0,81.0,44500000
S. Milinković-Savić,25,191,76,69.0,79.0,80.0,83.0,79.0,85.0,49000000
M. Škriniar,25,188,80,69.0,41.0,59.0,66.0,87.0,81.0,44500000
M. Depay,26,176,78,86.0,83.0,81.0,84.0,32.0,80.0,48500000
T. Werner,24,180,76,91.0,85.0,69.0,84.0,35.0,71.0,49500000
