short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur,predicted_value,value_gap
F. Quagliarella,37,180,79,64.0,85.0,75.0,80.0,30.0,63.0,5500000,18601500.0,13101500.0
Raúl García,33,184,83,46.0,83.0,81.0,78.0,72.0,83.0,9500000,20974000.0,11474000.0
M. Acuña,28,172,69,76.0,74.0,82.0,86.0,78.0,82.0,22000000,32987500.0,10987500.0
F. Acerbi,32,192,88,62.0,50.0,62.0,63.0,86.0,83.0,16500000,26518000.0,10018000.0
L. Majer,22,179,75,69.0,66.0,76.0,80.0,38.0,57.0,3500000,13131000.0,9631000.0
Paco Alcácer,26,175,72,78.0,84.0,67.0,80.0,35.0,62.0,21000000,30555000.0,9555000.0
F. Coquelin,29,176,74,71.0,67.0,76.0,80.0,79.0,81.0,14000000,23012000.0,9012000.0
Isco,28,176,79,68.0,75.0,82.0,90.0,59.0,59.0,31500000,40205000.0,8705000.0
M. Ginter,26,191,86,61.0,58.0,70.0,65.0,85.0,78.0,23000000,31665000.0,8665000.0
E. Cardona,27,183,92,48.0,76.0,76.0,72.0,40.0,80.0,3300000,11382500.0,8082500.0
�. Radu,33,183,79,61.0,64.0,65.0,68.0,83.0,69.0,4900000,12944000.0,8044000.0
J. Vertonghen,33,189,86,58.0,62.0,72.0,71.0,85.0,78.0,12000000,20005000.0,8005000.0
A. Robben,36,180,80,74.0,82.0,78.0,86.0,30.0,57.0,5000000,12986000.0,7986000.0
Fernandinho,35,179,67,64.0,72.0,78.0,78.0,85.0,79.0,9500000,17043000.0,7543000.0
E. Bardhi,24,172,64,76.0,81.0,78.0,82.0,63.0,58.0,16000000,23535000.0,7535000.0
Mário Fernandes,29,187,80,82.0,61.0,74.0,79.0,79.0,79.0,18500000,25527500.0,7027500.0
A. Kramarić,29,177,73,71.0,85.0,73.0,85.0,30.0,71.0,22000000,28875000.0,6875000.0
L. Shaw,24,181,75,78.0,53.0,74.0,78.0,80.0,78.0,19000000,25610000.0,6610000.0
Douglas Costa,29,172,70,93.0,73.0,79.0,91.0,43.0,59.0,30500000,37072500.0,6572500.0
Ander Herrera,30,182,71,66.0,72.0,77.0,79.0,79.0,74.0,11500000,17985000.0,6485000.0
E. Ávila,26,172,81,82.0,81.0,65.0,78.0,48.0,83.0,16000000,22221000.0,6221000.0
Z. Ibrahimović,38,195,95,52.0,88.0,77.0,79.0,34.0,77.0,9500000,15247500.0,5747500.0
S. Giovinco,33,163,61,80.0,77.0,78.0,86.0,27.0,56.0,9000000,14636500.0,5636500.0
T. Delaney,28,182,79,77.0,73.0,73.0,74.0,82.0,82.0,16000000,21552500.0,5552500.0
J. Rodríguez,28,180,75,53.0,86.0,85.0,86.0,50.0,63.0,22500000,28005000.0,5505000.0
D. Mertens,33,169,61,86.0,82.0,80.0,89.0,35.0,51.0,24000000,29413000.0,5413000.0
Ángel,33,172,68,73.0,82.0,62.0,79.0,34.0,67.0,8000000,13362500.0,5362500.0
A. Barkok,22,189,81,68.0,62.0,67.0,79.0,54.0,63.0,1700000,7056000.0,5356000.0
A. Florenzi,29,173,67,81.0,77.0,76.0,79.0,77.0,73.0,14500000,19777500.0,5277500.0
O. Etebo,24,176,70,77.0,65.0,68.0,76.0,72.0,78.0,3300000,8538000.0,5238000.0
Rafinha,27,174,71,69.0,76.0,79.0,84.0,68.0,61.0,14000000,19185000.0,5185000.0
Cristiano Ronaldo,35,187,83,89.0,93.0,81.0,89.0,35.0,77.0,46000000,51185000.0,5185000.0
Bruma,25,173,70,89.0,69.0,70.0,83.0,32.0,62.0,9000000,14117000.0,5117000.0
M. Rashica,24,177,73,88.0,79.0,74.0,84.0,46.0,65.0,17500000,22585000.0,5085000.0
Morales,32,180,70,86.0,78.0,75.0,84.0,58.0,68.0,10000000,15029000.0,5029000.0
M. Pjaca,25,186,83,76.0,67.0,74.0,83.0,41.0,67.0,8500000,13469000.0,4969000.0
G. Martínez,27,172,75,88.0,74.0,71.0,83.0,34.0,62.0,9000000,13967500.0,4967500.0
B. Matuidi,33,180,75,75.0,66.0,75.0,77.0,82.0,79.0,12500000,17403000.0,4903000.0
J. Iličić,32,190,79,70.0,86.0,84.0,85.0,43.0,68.0,25000000,29902500.0,4902500.0
Jesús Navas,34,172,60,87.0,69.0,79.0,83.0,80.0,58.0,11000000,15761500.0,4761500.0
Sergio Ramos,34,184,82,71.0,70.0,76.0,73.0,88.0,85.0,24500000,29165000.0,4665000.0
Iago Aspas,32,176,67,82.0,85.0,78.0,86.0,35.0,63.0,25000000,29647500.0,4647500.0
L. Ocampos,25,188,84,82.0,83.0,78.0,83.0,63.0,84.0,26500000,31120000.0,4620000.0
Adama Traoré,24,178,72,96.0,66.0,68.0,87.0,38.0,81.0,17500000,22021000.0,4521000.0
R. McGree,21,178,72,80.0,70.0,68.0,75.0,62.0,74.0,3300000,7757000.0,4457000.0
M. Akanji,24,187,91,77.0,47.0,68.0,71.0,80.0,76.0,13000000,17307500.0,4307500.0
R. Mahrez,29,179,67,83.0,79.0,81.0,90.0,38.0,59.0,37500000,41803500.0,4303500.0
S. Coates,29,196,92,59.0,43.0,54.0,61.0,83.0,86.0,15000000,19210000.0,4210000.0
Felipe,31,190,83,62.0,41.0,58.0,61.0,86.0,86.0,23000000,27166000.0,4166000.0
J. Cuadrado,32,179,72,89.0,72.0,78.0,88.0,72.0,64.0,11000000,15164500.0,4164500.0
Hulk,33,180,85,80.0,82.0,77.0,81.0,46.0,86.0,9000000,13159500.0,4159500.0
W. Cyprien,25,181,78,72.0,77.0,77.0,78.0,74.0,77.0,10500000,14625000.0,4125000.0
S. Boufal,26,175,67,78.0,66.0,71.0,84.0,27.0,51.0,7000000,11081500.0,4081500.0
N. Madueke,18,176,65,78.0,65.0,64.0,78.0,36.0,56.0,3700000,7768500.0,4068500.0
Josué Chiamulera,28,185,80,78.0,43.0,56.0,64.0,85.0,79.0,19500000,23565000.0,4065000.0
N. Fekir,26,173,75,79.0,82.0,81.0,87.0,38.0,79.0,30500000,34480000.0,3980000.0
M. Dembélé,32,185,85,73.0,68.0,77.0,87.0,73.0,79.0,11000000,14928500.0,3928500.0
W. Ndidi,23,183,74,71.0,62.0,68.0,74.0,87.0,84.0,36500000,40407500.0,3907500.0
G. Higuaín,32,186,89,65.0,85.0,71.0,80.0,31.0,69.0,20500000,24395000.0,3895000.0
G. Chiellini,35,187,85,66.0,46.0,58.0,60.0,90.0,79.0,15500000,19375000.0,3875000.0
Marcelo,32,174,75,79.0,73.0,80.0,88.0,76.0,76.0,16000000,19765000.0,3765000.0
